订单编号,标题,价格,购买数量,外部系统编号,商品属性,套餐信息,备注,订单状态,商家编码
205005455659632468,裙子女夏2018新款pp home心机设计感T恤裙sukol裙连衣裙小清新,199,2,AW1406_2,颜色分类：黑白色;尺码：M,null,null,卖家已发货，等待买家确认,AW1406_2
205005259476758890,裙子女夏2018新款pp home心机设计感T恤裙sukol裙连衣裙小清新,199,1,AW1406_2,颜色分类：黑白色;尺码：M,null,null,卖家已发货，等待买家确认,AW1406_2
204953708930959674,2018新款宽松白色镂空衬衫女小清新短袖娃娃衫韩版蓬蓬上衣超仙,188,1,AW1449_2,颜色分类：白色;尺码：M,null,null,卖家已发货，等待买家确认,AW1449_2
204953708930959674,条纹半身裙女夏2018新款宽松韩版百褶裙高腰一步裙短裙A字裙仙女,258,1,AW1450_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1450_2
204953708930959674,拼接连衣裙女夏季2018新款宽松V领荷叶边裙pp home裙子慵懒风裙子,189,1,AW1379_1,颜色分类：印花;尺码：S,null,null,卖家已发货，等待买家确认,AW1379_1
204996719941125754,折叠腰棕色短裤女秋2018新款宽松哈伦裤工装裤怪味少女裤子直筒,169,1,AW1383_2,颜色分类：黄色;尺寸：M,null,null,卖家已发货，等待买家确认,AW1383_2
204996719941125754,白衬衫女2018早秋新款长袖宽松ins超火的衬衣心机chic上衣设计感,253.5,1,AW1055_1,颜色分类：白色;尺码：S,null,null,卖家已发货，等待买家确认,AW1055_1
204996719941125754,格纹荷叶边衬衫女2018新款小清新娃娃衫宽松衬衣夏薄款防晒上衣,199,1,AW1380_2,颜色分类：黄蓝格;尺码：M,null,null,卖家已发货，等待买家确认,AW1380_2
206131769877628537,2018新款宽松荷叶袖女娃娃衫上衣蓬蓬夏洋气小衫露背心机设计衬衫,238,1,AW1455_2,颜色分类：卡其+白;尺码：M,null,null,卖家已发货，等待买家确认,AW1455_2
176051990405097696,原宿风格纹撞色马甲女2018新款秋冬韩版宽松小香风背心坎肩外套,328,1,AW1468_2,颜色分类：花色;尺码：M,null,null,卖家已发货，等待买家确认,AW1468_2
176051990405097696,秋季女2018新款白色衬衣裙韩版中长款宽松chic早秋衬衫港味bf复古,228,1,AW1498_2,颜色分类：白色;尺码：M,null,null,卖家已发货，等待买家确认,AW1498_2
204964575694258183,2018新款鱼尾连衣裙女夏宽松中长款慵懒风裙子 i miss裙超仙甜美,248,1,AW1446_2,颜色分类：桔色;尺码：M,null,null,卖家已发货，等待买家确认,AW1446_2
204964575694258183,裙子女夏2018新款宽松韩版鱼尾中长款极简主义裙慵懒风韩国连衣裙,238,1,AW1340_2,颜色分类：桃红色;尺码：M,null,null,卖家已发货，等待买家确认,AW1340_2
204964575694258183,2018新款宽松韩版拼接连衣裙女夏荷叶边裙慵懒风pp home裙子显瘦,199,1,AW1391_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1391_2
206275438960529131,2018新款韩版极简主义名媛连衣裙慵懒风裙子女夏温柔裙超仙显瘦,189,1,AW1394_1,颜色分类：花色;尺码：S,null,null,卖家已发货，等待买家确认,AW1394_1
205985104764749800,裤子2018新款女夏韩版休闲裤薄款哈伦裤宽松直筒高腰裤子长裤小脚,228,1,AW1463_2,颜色分类：米白色;尺寸：M,null,null,卖家已发货，等待买家确认,AW1463_2
205985104764749800,2018新款宽松荷叶袖女娃娃衫上衣蓬蓬夏洋气小衫露背心机设计衬衫,238,1,AW1455_1,颜色分类：卡其+白;尺码：S,null,null,卖家已发货，等待买家确认,AW1455_1
204878557379023859,格子小西装外套女韩版2018秋装新款休闲中长款长袖chic西服短款,387,1,AW809_2,颜色分类：格子;尺码：M,null,亲 帮我选好点儿的哟！十分感谢！,卖家已发货，等待买家确认,AW809_2
206462927407604632,拼接条纹小西装外套女港味复古chic小香风西服休闲韩版宽松薄款,258,1,AW1474_2,颜色分类：黒白;尺码：M,null,null,卖家已发货，等待买家确认,AW1474_2
204880880190805149,2018夏新款法式复古黑色连衣裙女宽松极简主义慵懒风chic长裙子,285,1,AW1309_1,颜色分类：黑色;尺码：S,null,null,卖家已发货，等待买家确认,AW1309_1
204880880190805149,条纹V领连衣裙长裙女装夏2018新款高腰显瘦荷叶边a字裙慵懒风裙子,265,1,AW1337_1,颜色分类：明黄色;尺码：S,null,null,卖家已发货，等待买家确认,AW1337_1
204880880190805149,2018新款夏丝感碎花连衣裙女中长款宽松大摆裙pphome裙子文艺超仙,268,1,AW1242_1,颜色分类：花色;尺码：S,null,null,卖家已发货，等待买家确认,AW1242_1
206248446682691120,白色衬衫女2018秋季新款宽松港味长袖恶魔衬衣bf风chic早秋衬衫,228,1,AW1489_2,颜色分类：白色;尺码：M,null,null,卖家已发货，等待买家确认,AW1489_2
206248446682691120,木耳荷叶边连衣裙秋装2018新款宽松港味气质中长款chic衬衫女裙子,288,1,AW1483_2,颜色分类：锈红色[活动价229提前享];尺码：M,null,null,卖家已发货，等待买家确认,AW1483_2
206248446682691120,2018春秋港风樱田川岛外套女ins假两件飞行员夹克棒球服港味上衣,888,1,AW1132_2,颜色分类：焦糖色;尺码：M,null,null,卖家已发货，等待买家确认,AW1132_2
206079521933160333,2018春秋季新款白色衬衫女chic长袖韩版学生上衣百搭宽松打底衬衣,245,1,AW396,颜色分类：白色;尺码：均码,null,null,卖家已发货，等待买家确认,AW396
204860776412071855,2018新款宽松蕾丝拼接条纹衬衫裙女夏慵懒风裙子极简主义 连衣裙,258,1,AW1388_1,颜色分类：黄白条;尺码：S,null,null,卖家已发货，等待买家确认,AW1388_1
206439071568286713,2018新款宽松韩版拼接连衣裙女夏荷叶边裙慵懒风pp home裙子显瘦,199,1,AW1391_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1391_2
206077505212940520,2018春秋季新款白色衬衫女chic长袖韩版学生上衣百搭宽松打底衬衣,245,1,AW396,颜色分类：白色;尺码：均码,null,null,卖家已发货，等待买家确认,AW396
204838041658403457,2018夏新款宽松港味复古连衣裙ins超火慵懒风pp home裙子韩版女装,298,1,AW1400_2,颜色分类：白色[送打底吊带];尺码：M,null,null,卖家已发货，等待买家确认,AW1400_2
204838041658403457,2018新款极简主义连衣裙女中长款慵懒风休闲chic复古鱼尾裙子港味,258,1,AW1390_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1390_2
204838041658403457,夏2018新款长款宽松大t恤女短袖下衣失踪中长款樱田川岛过膝裙,179,1,AW1300_2,主要颜色：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1300_2
204829697642806661,港味复古连衣裙女2018新款收腰长裙慵懒风pp home裙子夏极简主义,218,1,AW1399_1,颜色分类：印花;尺码：S,null,null,卖家已发货，等待买家确认,AW1399_1
204747742609914073,2018新款极简主义连衣裙女中长款慵懒风休闲chic复古鱼尾裙子港味,258,1,AW1390_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1390_2
204739118552384881,春秋风衣女秋季2018新款韩版学历外套宽松中长款chic休闲lulu外套,508.5,1,AW1165_1,颜色分类：拼色;尺码：S,null,null,卖家已发货，等待买家确认,AW1165_1
204815864299014885,拼色竖条纹针织衫女套头秋冬新款韩版宽松显瘦长袖原宿风打底毛衣,283.5,1,AW822_1,颜色分类：酒红色;尺码：S,null,null,卖家已发货，等待买家确认,AW822_1
204835019800018380,复古印花连衣裙女夏2018新款宽松中长款 i miss裙收腰遮肚子裙子,258,1,AW1435_2,颜色分类：印花蓝;尺码：M,null,null,卖家已发货，等待买家确认,AW1435_2
206182954469911137,2018新款韩版极简主义名媛连衣裙慵懒风裙子女夏温柔裙超仙显瘦,189,1,AW1394_2,颜色分类：花色;尺码：M,null,null,卖家已发货，等待买家确认,AW1394_2
204711454580871484,彩色条纹针织衫女2018秋新款宽松长袖喇叭袖套头上衣chic罩衫毛衣,228,1,AW1497_2,颜色分类：彩色条纹;尺码：M,null,null,卖家已发货，等待买家确认,AW1497_2
205888672697104035,秋季新款英伦风毛呢格子小西装外套女中长款韩版宽松休闲chic西服,387,1,AW809_1,颜色分类：格子;尺码：S,null,null,卖家已发货，等待买家确认,AW809_1
205888672697104035,原宿风格纹撞色马甲女2018新款秋冬韩版宽松小香风背心坎肩外套,328,1,AW1468_1,颜色分类：花色;尺码：S,null,null,卖家已发货，等待买家确认,AW1468_1
205888672697104035,白色衬衫女2018秋季新款宽松港味长袖恶魔衬衣bf风chic早秋衬衫,228,1,AW1489_1,颜色分类：白色;尺码：S,null,null,卖家已发货，等待买家确认,AW1489_1
204777224843315369,学院风格子拼接风衣女2018秋季新款港味复古chic外套宽松中长款,268,1,AW1473_1,颜色分类：拼色;尺码：S,null,null,卖家已发货，等待买家确认,AW1473_1
204777224843315369,2018秋季新款直筒裤韩版宽松格子裤女休闲裤高腰阔腿裤显瘦哈伦裤,229,1,AW1490_2,颜色分类：灰格子;尺寸：M,null,null,交易关闭,AW1490_2
175929209961836995,店主很红夏季条纹白衬衫女bf宽松中长款娃娃衫防晒衣衬衣上衣蓬蓬,342,1,AW1207_2,颜色分类：白色;尺码：M,null,null,卖家已发货，等待买家确认,AW1207_2
175929209961836995,秋季新款英伦风毛呢格子小西装外套女中长款韩版宽松休闲chic西服,387,1,AW809_2,颜色分类：格子;尺码：M,null,null,卖家已发货，等待买家确认,AW809_2
204729764571311767,2018秋季新款chic早秋衬衫女韩范长袖复古波点条纹衬衣学院风上衣,199,1,AW1479_2,颜色分类：黑白;尺码：M,null,null,卖家已发货，等待买家确认,AW1479_2
204768939948774272,连帽卫衣女2018秋装新款韩版宽松长袖中长款慵懒风pp home外套潮,239,1,AW1469_2,颜色分类：印花;尺码：M,null,null,卖家已发货，等待买家确认,AW1469_2
205836620625988106,2018春秋樱田川岛外套女宽松假两件ins夹克棒球服上衣怪味少女,418.5,1,AW1179_2,颜色分类：黑白;尺码：M,null,null,卖家已发货，等待买家确认,AW1179_2
206124882578304315,重工刺绣连衣裙女夏2018新款宽松中长款蕾丝冷淡风仙女裙子超仙,268,1,AW1291_1,颜色分类：卡其色;尺码：S,null,null,卖家已发货，等待买家确认,AW1291_1
206124882578304315,半身裙夏女2018新款解构撞色百褶A字裙宽松气质拼色ins超火的裙子,226,1,AW1272_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1272_2
206124882578304315,蓝色复古牛仔裤女宽松直筒chic韩风裤子高腰阔腿裤潮九分裤,253.5,1,AW1210_1,颜色分类：蓝色;尺寸：S,null,null,交易关闭,AW1210_1
206325167934947434,2018新款chic早秋拼接格纹衬衫女中长款韩版宽松长袖衫原宿慵懒风,888,1,AW1094_2,颜色分类：蓝色;尺码：M,null,null,卖家已发货，等待买家确认,AW1094_2
204753483443383950,蓝色刺绣短袖宽松棉麻连衣裙女夏季2018新款中长款慵懒风裙极简,288,1,AW1302_1,颜色分类：蓝色;尺码：S,null,null,卖家已发货，等待买家确认,AW1302_1
204753483443383950,2018新款鱼尾连衣裙女夏宽松中长款慵懒风裙子 i miss裙超仙甜美,248,1,AW1446_1,颜色分类：桔色;尺码：S,null,null,卖家已发货，等待买家确认,AW1446_1
206320491592757700,条纹连衣裙女夏2018新款宽松中长款鱼尾裙慵懒风裙子极简主义长裙,288,1,AW1444_2,颜色分类：蓝白;尺码：M,null,检查好质量款式问题快速发货谢谢,卖家已发货，等待买家确认,AW1444_2
204737607546714465,白色衬衫洋气小衫女夏韩版荷叶边娃娃衫波点雪纺上衣chic蓬蓬衬衣,239,1,AW1448_1,颜色分类：蓝波点[波点位置随机];尺码：S,null,null,卖家已发货，等待买家确认,AW1448_1
205938849003297618,店主很红春秋新款韩版红色风衣女中长款薄款外套大衣春秋lulu英伦,493.5,1,AW529_1,颜色分类：红色;尺码：S,null,null,卖家已发货，等待买家确认,AW529_1
204651169461354967,原宿风格纹撞色马甲女2018新款秋冬韩版宽松小香风背心坎肩外套,328,1,AW1468_1,颜色分类：花色;尺码：S,null,null,卖家已发货，等待买家确认,AW1468_1
204644421949526044,2018夏新款宽松港味复古连衣裙ins超火慵懒风pp home裙子韩版女装,298,1,AW1400_1,颜色分类：白色[送打底吊带];尺码：S,null,null,卖家已发货，等待买家确认,AW1400_1
205922553835676211,卡其色风衣女中长款秋季2018新款韩版宽松lulu风衣外套港风chic,288,1,AW1471_2,颜色分类：卡其;尺码：M,null,null,卖家已发货，等待买家确认,AW1471_2
205782328116221023,2018新款张韶涵明星同款民族风印花连体裤宽松女夏阔腿裤薄款短裤,248,1,AW1377_2,颜色分类：印花;尺寸：M,null,null,卖家已发货，等待买家确认,AW1377_2
205782328116221023,港味极简主义连衣裙夏2018新款宽松冷淡风中长款裙子女慵懒风chic,269,1,AW1344_2,颜色分类：印花;尺码：M,null,null,卖家已发货，等待买家确认,AW1344_2
204630813884253974,2018秋装新款韩版复古休闲萝卜裤运动九分小脚裤铅笔裤长裤女韩国,252,1,AW1068_4,颜色分类：蓝色;尺寸：M,null,null,卖家已发货，等待买家确认,AW1068_4
204630813884253974,白色衬衫女2018秋季新款宽松港味长袖恶魔衬衣bf风chic早秋衬衫,228,1,AW1489_2,颜色分类：白色;尺码：M,null,null,卖家已发货，等待买家确认,AW1489_2
204565854926065956,裙子女夏2018新款pp home心机设计感T恤裙sukol裙连衣裙小清新,199,1,AW1406_2,颜色分类：黑白色;尺码：M,null,null,卖家已发货，等待买家确认,AW1406_2
204644308277675984,2018秋季新款高腰条纹棉麻亚麻阔腿裤女港味ins超火的ulzzang裤子,248,1,AW1215_1,颜色分类：条纹;尺寸：S,null,null,卖家已发货，等待买家确认,AW1215_1
204614965673976888,2018春秋季新款白色衬衫女chic长袖韩版学生上衣百搭宽松打底衬衣,245,1,AW396,颜色分类：白色;尺码：均码,null,null,卖家已发货，等待买家确认,AW396
204614965673976888,白色衬衫女2018秋季新款宽松港味长袖恶魔衬衣bf风chic早秋衬衫,228,1,AW1489_1,颜色分类：白色;尺码：S,null,null,买家已付款，等待卖家发货,AW1489_1
206060370324081624,几何撞色极简主义POLO连衣裙女2018夏新款小清新裙子冷淡风衬衫裙,188,1,AW1385_2,颜色分类：印花;尺码：M,null,null,卖家已发货，等待买家确认,AW1385_2
206060370324081624,港风牛仔外套女红色复古秋季韩版bf原宿宽松樱田川岛外套chic潮,258,1,AW1482_2,颜色分类：红色;尺码：M,null,null,卖家已发货，等待买家确认,AW1482_2
206060370324081624,复古连衣裙夏装宽松2018新款中长款慵懒风裙子温柔i miss裙超仙女,246,1,AW1338_2,颜色分类：白色;尺码：M,null,null,卖家已发货，等待买家确认,AW1338_2
206060370324081624,原宿风格纹撞色马甲女2018新款秋冬韩版宽松小香风背心坎肩外套,328,1,AW1468_2,颜色分类：花色;尺码：M,null,null,卖家已发货，等待买家确认,AW1468_2
205762196685917303,蓝色连帽卫衣女2018新款长袖韩版宽松pp home外套秋季慵懒风薄款,198,1,AW1481_1,颜色分类：蓝色;尺码：S,null,null,卖家已发货，等待买家确认,AW1481_1
205762196685917303,原宿风牛仔外套女长袖2018秋新款宽松bf风樱田川岛外套假两件港风,258,1,AW1502_1,颜色分类：蓝白;尺码：S,null,null,买家已付款，等待卖家发货,AW1502_1
206252647806167220,店主很红春秋新款韩版红色风衣女中长款薄款外套大衣春秋lulu英伦,493.5,1,AW529_3,颜色分类：红色;尺码：XS,null,null,卖家已发货，等待买家确认,AW529_3
206246263852722633,2018春秋樱田川岛外套女宽松假两件ins夹克棒球服上衣怪味少女,418.5,1,AW1179_2,颜色分类：黑白;尺码：M,null,null,卖家已发货，等待买家确认,AW1179_2
205883577982067702,2018秋季新款收腰小西装女韩版中长款chic休闲韩国港味复古外套,888,1,AW1140_1,颜色分类：黑色;尺码：S,null,null,卖家已发货，等待买家确认,AW1140_1
204507082492395857,拼接条纹小西装外套女港味复古chic小香风西服休闲韩版宽松薄款,258,1,AW1474_1,颜色分类：黒白;尺码：S,null,null,交易关闭,AW1474_1
204507082492395857,2018春秋港风樱田川岛外套女ins假两件飞行员夹克棒球服港味上衣,888,1,AW1132_1,颜色分类：焦糖色;尺码：S,null,null,交易关闭,AW1132_1
204507082492395857,白衬衫女2018早秋新款长袖宽松ins超火的衬衣心机chic上衣设计感,253.5,1,AW1055_1,颜色分类：白色;尺码：S,null,null,卖家已发货，等待买家确认,AW1055_1
204507082492395857,白色衬衫女长袖2018秋新款宽松韩版中长款chic早秋上衣慵懒风港味,268,1,AW1501_1,颜色分类：黑白色;尺码：S,null,null,卖家已发货，等待买家确认,AW1501_1
204507082492395857,春秋风衣女秋季2018新款韩版学历外套宽松中长款chic休闲lulu外套,508.5,1,AW1165_1,颜色分类：拼色;尺码：S,null,null,卖家已发货，等待买家确认,AW1165_1
205861457752559008,格子小西装外套女韩版2018秋装新款休闲中长款长袖chic西服短款,387,1,AW809_1,颜色分类：格子;尺码：S,null,null,卖家已发货，等待买家确认,AW809_1
206008766352213325,拼接条纹小西装外套女港味复古chic小香风西服休闲韩版宽松薄款,258,1,AW1474_1,颜色分类：黒白;尺码：S,null,null,卖家已发货，等待买家确认,AW1474_1
204560532564499745,2018春装新款原宿格子流苏外套女短款上衣百搭休闲宽松小香风外套,888,1,AW1092_1,颜色分类：格子;尺码：S,null,null,卖家已发货，等待买家确认,AW1092_1
204517469490200565,原宿风白衬衫女长袖宽松韩版学生百搭bf风中长款连衣裙衬衣裙欧货,298.5,1,AW791_1,颜色分类：白色;尺码：S,null,null,卖家已发货，等待买家确认,AW791_1
204517469490200565,店主很红春秋新款韩版红色风衣女中长款薄款外套大衣春秋lulu英伦,493.5,1,AW529_1,颜色分类：红色;尺码：S,null,null,卖家已发货，等待买家确认,AW529_1
205819457230581121,2018秋季新款港味休闲时尚套装宽松韩版慵懒风针织网红两件套气质,308,1,AW1475_2,颜色分类：藏青色;尺码：M,null,null,卖家已发货，等待买家确认,AW1475_2
205819457230581121,格子套装女2018新款秋季韩版宽松慵懒风针织毛衣开衫两件套港味,408,1,AW1492_2,颜色分类：红白;尺码：M,null,null,买家已付款，等待卖家发货,AW1492_2
205970994764739924,2018新款chic早秋拼接格纹衬衫女中长款韩版宽松长袖衫原宿慵懒风,888,1,AW1094_1,颜色分类：蓝色;尺码：S,null,null,卖家已发货，等待买家确认,AW1094_1
205970994764739924,2018秋季新款中长款宽松条纹衬衫女chic早秋上衣港味长袖原宿风,258,1,AW1477_1,颜色分类：拼色条纹;尺码：S,null,null,交易关闭,AW1477_1
205970994764739924,白色衬衫洋气小衫女夏韩版荷叶边娃娃衫波点雪纺上衣chic蓬蓬衬衣,239,1,AW1448_1,颜色分类：蓝波点[波点位置随机];尺码：S,null,null,交易关闭,AW1448_1
204428206467654183,冷淡风连衣裙女2018新款宽松慵懒风pp home裙子夏港味复古长裙,219,1,AW1405_1,颜色分类：黑白色;尺码：S,null,null,买家已付款，等待卖家发货,AW1405_1
204428206467654183,港味极简主义连衣裙夏2018新款宽松冷淡风中长款裙子女慵懒风chic,269,1,AW1344_1,颜色分类：印花;尺码：S,null,null,卖家已发货，等待买家确认,AW1344_1
204416502377212894,原宿风格纹撞色马甲女2018新款秋冬韩版宽松小香风背心坎肩外套,328,1,AW1468_1,颜色分类：花色;尺码：S,null,null,卖家已发货，等待买家确认,AW1468_1
204501676202305156,白色衬衫洋气小衫女夏韩版荷叶边娃娃衫波点雪纺上衣chic蓬蓬衬衣,239,1,AW1448_2,颜色分类：蓝波点[波点位置随机];尺码：M,null,null,卖家已发货，等待买家确认,AW1448_2
205952318843455600,原宿风卫衣女2018秋季新款长袖慵懒风韩版宽松pp home卫衣薄款bf,188,1,AW1504_1,颜色分类：红白;尺码：S,null,null,卖家已发货，等待买家确认,AW1504_1
205952318843455600,黑色半身裙女2018秋季新款宽松不规则裙chic短裙高腰a字裙复古潮,198,1,AW1503_2,颜色分类：黑色;尺码：M,null,null,交易关闭,AW1503_2
204386710805578581,原宿风格纹撞色马甲女2018新款秋冬韩版宽松小香风背心坎肩外套,328,1,AW1468_2,颜色分类：花色;尺码：M,null,null,卖家已发货，等待买家确认,AW1468_2
205637568837843221,2018新款韩版极简主义名媛连衣裙慵懒风裙子女夏温柔裙超仙显瘦,189,1,AW1394_2,颜色分类：花色;尺码：M,null,null,卖家已发货，等待买家确认,AW1394_2
205638184216643331,2018春秋樱田川岛外套女宽松假两件ins夹克棒球服上衣怪味少女,418.5,1,AW1179_2,颜色分类：黑白;尺码：M,null,null,卖家已发货，等待买家确认,AW1179_2
205635468356445428,学院风v领宽松针织衫毛衣马甲女背心短款学生2018春装新款韩版,342,1,AW1086_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1086_2
204366102867294779,港味极简主义连衣裙夏2018新款宽松冷淡风中长款裙子女慵懒风chic,269,1,AW1344_1,颜色分类：印花;尺码：S,null,null,卖家已发货，等待买家确认,AW1344_1
204473455067082050,原宿风格纹撞色马甲女2018新款秋冬韩版宽松小香风背心坎肩外套,328,1,AW1468_2,颜色分类：花色;尺码：M,null,null,卖家已发货，等待买家确认,AW1468_2
204473455067082050,黑白波点衬衫女洋气小衫港风衬衣2018新款秋季女上衣娃娃衫chic,198,1,AW1484_2,颜色分类：黑白波点;尺码：M,null,null,交易关闭,AW1484_2
204473455067082050,毛衣针织开衫外套女2018秋季新款韩版宽松chic罩衫外搭复古上衣,235,1,AW1494_2,颜色分类：红蓝格;尺码：M,null,null,卖家已发货，等待买家确认,AW1494_2
204473455067082050,格纹荷叶边衬衫女2018新款小清新娃娃衫宽松衬衣夏薄款防晒上衣,199,1,AW1380_2,颜色分类：黄蓝格;尺码：M,null,null,卖家已发货，等待买家确认,AW1380_2
205612816742453728,港风牛仔外套女红色复古秋季韩版bf原宿宽松樱田川岛外套chic潮,258,1,AW1482_1,颜色分类：红色;尺码：S,null,null,卖家已发货，等待买家确认,AW1482_1
175958636807970198,裤子2018新款女夏韩版休闲裤薄款哈伦裤宽松直筒高腰裤子长裤小脚,228,1,AW1463_2,颜色分类：米白色;尺寸：M,null,null,卖家已发货，等待买家确认,AW1463_2
204458951769262977,格子小西装外套女韩版2018秋装新款休闲中长款长袖chic西服短款,387,1,AW809_1,颜色分类：格子;尺码：S,null,null,卖家已发货，等待买家确认,AW809_1
206094587474966308,2018秋装新款韩版复古休闲萝卜裤运动九分小脚裤铅笔裤长裤女韩国,252,1,AW1068_4,颜色分类：蓝色;尺寸：M,null,null,卖家已发货，等待买家确认,AW1068_4
205599796059371336,2018春秋樱田川岛外套女宽松假两件ins夹克棒球服上衣怪味少女,418.5,1,AW1179_2,颜色分类：黑白;尺码：M,null,null,卖家已发货，等待买家确认,AW1179_2
205599796059371336,拼接条纹衬衫女韩版宽松chic早秋长款前短后长上衣港味长袖衬衣潮,229,1,AW1500_2,颜色分类：藏青白;尺码：M,null,null,买家已付款，等待卖家发货,AW1500_2
205599796059371336,学院风格子拼接风衣女2018秋季新款港味复古chic外套宽松中长款,268,1,AW1473_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1473_2
205892678111249904,秋季新款英伦风毛呢格子小西装外套女中长款韩版宽松休闲chic西服,387,1,AW809_1,颜色分类：格子;尺码：S,null,null,卖家已发货，等待买家确认,AW809_1
205891334538563038,春秋风衣女秋季2018新款韩版学历外套宽松中长款chic休闲lulu外套,508.5,1,AW1165_1,颜色分类：拼色;尺码：S,null,null,卖家已发货，等待买家确认,AW1165_1
205723221188136632,拼接连衣裙女夏季2018新款宽松V领荷叶边裙pp home裙子慵懒风裙子,189,1,AW1379_1,颜色分类：印花;尺码：S,null,null,卖家已发货，等待买家确认,AW1379_1
204427115263840245,2018夏新款宽松港味复古连衣裙ins超火慵懒风pp home裙子韩版女装,298,1,AW1400_1,颜色分类：白色[送打底吊带];尺码：S,null,null,卖家已发货，等待买家确认,AW1400_1
204427115263840245,裙子女夏2018新款pp home心机设计感T恤裙sukol裙连衣裙小清新,199,1,AW1406_1,颜色分类：黑白色;尺码：S,null,null,卖家已发货，等待买家确认,AW1406_1
175896169701239299,格子小西装外套女韩版2018秋装新款休闲中长款长袖chic西服短款,387,1,AW809_2,颜色分类：格子;尺码：M,null,null,卖家已发货，等待买家确认,AW809_2
204297026090490879,2018新款学院风娃娃领连衣裙女韩版宽松慵懒风裙夏褶皱裙复古,229,1,AW1398_1,颜色分类：蓝色;尺码：S,null,null,卖家已发货，等待买家确认,AW1398_1
204297026090490879,裙子女夏2018新款pp home心机设计感T恤裙sukol裙连衣裙小清新,199,1,AW1406_1,颜色分类：黑白色;尺码：S,null,null,卖家已发货，等待买家确认,AW1406_1
204415607292705667,2018新款极简主义连衣裙女中长款慵懒风休闲chic复古鱼尾裙子港味,258,1,AW1390_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1390_2
204415607292705667,2018夏新款宽松港味复古连衣裙ins超火慵懒风pp home裙子韩版女装,298,1,AW1400_2,颜色分类：白色[送打底吊带];尺码：M,null,null,卖家已发货，等待买家确认,AW1400_2
204413339563978573,睡衣风家居服2018新款夏印花开衫短裤女套装宽松韩版春秋季两件套,285,1,AW1422_2,颜色分类：印花;尺码：M,null,null,交易关闭,AW1422_2
204413339563978573,秋季新款英伦风毛呢格子小西装外套女中长款韩版宽松休闲chic西服,387,1,AW809_1,颜色分类：格子;尺码：S,null,null,卖家已发货，等待买家确认,AW809_1
205701101873538603,2018春秋樱田川岛外套女宽松假两件ins夹克棒球服上衣怪味少女,418.5,1,AW1179_2,颜色分类：黑白;尺码：M,null,null,卖家已发货，等待买家确认,AW1179_2
205695641428737232,pphome裙18吊带背带连衣裙女2018夏装新款宽松复古长裙子中长款夏,240,1,AW301,颜色分类：绿色;尺码：均码,null,null,卖家已发货，等待买家确认,AW301
204265218860394662,春秋风衣女秋季2018新款韩版学历外套宽松中长款chic休闲lulu外套,508.5,1,AW1165_1,颜色分类：拼色;尺码：S,null,null,卖家已发货，等待买家确认,AW1165_1
205841186364376214,白衬衫女2018早秋新款长袖宽松ins超火的衬衣心机chic上衣设计感,253.5,1,AW1055_1,颜色分类：白色;尺码：S,null,null,卖家已发货，等待买家确认,AW1055_1
205839114018257513,2018秋新款韩版宽松中长款早秋衬衫裙慵懒风chic上衣港味长袖外套,269,1,AW1506_2,颜色分类：肉桂色;尺码：M,null,null,卖家已发货，等待买家确认,AW1506_2
175998594394826698,2018春秋季新款卫衣女学生宽松运动上衣红色嘻哈少女外套街头bf风,888,1,AW1099_2,颜色分类：红黑色;尺码：M,null,null,卖家已发货，等待买家确认,AW1099_2
175998594394826698,原宿风工装外套女韩版港风复古chic宽松欧美嘻哈风衣学生棒球服bf,387,1,AW798_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW798_2
175998594394826698,2018秋季新款宽松韩版长袖套头毛衣女慵懒风chic针织衫外套上衣,258,1,AW1496_2,颜色分类：黄色;尺码：M,null,null,卖家已发货，等待买家确认,AW1496_2
204319173124807444,春秋风衣女秋季2018新款韩版学历外套宽松中长款chic休闲lulu外套,508.5,1,AW1165_1,颜色分类：拼色;尺码：S,null,null,卖家已发货，等待买家确认,AW1165_1
205536600433393012,裙子女夏2018新款pp home心机设计感T恤裙sukol裙连衣裙小清新,199,1,AW1406_2,颜色分类：黑白色;尺码：M,null,null,卖家已发货，等待买家确认,AW1406_2
206031027019224230,2018新款韩版chic早秋上衣慵懒风长袖印花T恤宽松hip-hop衣服女,155,1,AW1487_2,主要颜色：亮黄色;尺码：M,null,null,卖家已发货，等待买家确认,AW1487_2
206031027019224230,牛仔外套女秋韩版宽松2018新款工装樱田川岛外套怪味少女上衣长袖,388,1,AW1505_2,颜色分类：双色蓝;尺码：M,null,null,卖家已发货，等待买家确认,AW1505_2
